HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;PSH;PSD;PSA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Levante;Vallecano;0;2;A;0;2;A;19;10;5;4;16;25;8;3;1;3;0;0;245;33;29;25;32;287;262;33;296;263;344;304;254;326;292
Sevilla;Valencia;1;2;A;0;0;D;9;10;3;3;15;17;8;1;3;2;1;0;191;35;42;193;33;42;195;347;448;198;354;45;193;34;433
Sociedad;Girona;1;1;D;1;0;H;15;6;2;1;22;9;4;1;2;5;0;0;162;4;525;16;39;575;165;405;566;168;414;6;163;397;558
Espagnol;Mallorca;1;1;D;1;0;H;5;12;2;2;11;21;3;6;3;2;0;0;24;3;33;24;3;32;245;302;346;25;315;347;244;3;331
Ath Bilbao;Real Madrid;0;2;A;0;2;A;7;14;1;8;18;6;7;5;3;1;0;0;33;35;215;34;35;205;343;358;219;36;365;222;34;352;215
Celta;Osasuna;0;2;A;0;1;A;11;11;1;5;11;15;7;2;1;1;0;0;205;32;39;205;325;37;215;319;399;22;344;399;212;323;38
Villarreal;Betis;1;2;A;0;1;A;18;12;5;5;13;17;9;4;1;3;0;0;175;4;42;173;39;45;181;398;443;183;41;47;177;393;44
Getafe;Barcelona;0;0;D;0;0;D;5;14;2;4;20;11;3;4;8;2;1;1;65;38;157;6;4;157;669;404;157;67;42;161;635;399;157
Elche;Alaves;1;0;H;1;0;H;12;10;3;2;19;15;2;4;3;2;1;0;22;3;375;215;31;38;225;308;386;226;323;4;219;306;379
Ath Madrid;Oviedo;3;1;H;1;0;H;14;7;6;4;15;9;3;3;3;1;0;0;13;55;95;13;55;105;131;576;103;133;6;112;13;549;1027
Mallorca;Villarreal;0;1;A;0;0;D;8;15;1;3;12;11;6;5;2;4;0;0;28;32;26;287;31;255;304;313;268;31;325;271;295;311;263
Valencia;Espagnol;1;0;H;0;0;D;9;7;4;1;12;6;6;4;0;0;0;0;157;39;6;158;39;6;161;402;649;165;41;66;159;394;628
Sociedad;Celta;1;1;D;1;0;H;11;17;2;6;12;12;9;7;2;1;0;0;173;34;55;175;35;5;176;354;557;183;364;56;176;35;524
Levante;Real Madrid;1;3;A;1;1;D;20;24;8;9;10;13;4;5;1;0;0;0;8;475;14;775;48;139;815;511;14;85;53;143;8;501;139
Osasuna;Ath Bilbao;0;2;A;0;2;A;18;8;7;2;9;14;5;3;1;5;1;1;29;3;263;275;31;265;289;31;279;295;329;28;283;311;271
Girona;Getafe;3;0;H;1;0;H;7;9;6;2;11;20;3;2;2;5;0;0;205;31;4;205;31;4;206;322;431;21;337;44;205;318;415
Barcelona;Elche;2;0;H;0;0;D;23;10;10;1;9;22;10;2;4;3;0;0;12;7;13;121;65;145;121;69;1496;125;75;17;121;67;1464
Betis;Ath Madrid;0;0;D;0;0;D;14;5;0;1;10;8;2;7;2;1;0;0;38;34;2;38;34;2;393;357;202;4;368;208;386;345;203
Alaves;Sevilla;4;3;H;2;2;D;14;12;7;2;14;13;4;4;1;2;0;0;33;31;235;325;3;237;345;31;241;355;323;245;332;306;24
Oviedo;Vallecano;0;2;A;0;0;D;14;17;7;9;14;11;5;6;2;1;1;0;275;3;28;26;31;285;268;309;303;275;326;31;265;308;292
Espagnol;Sociedad;0;0;D;0;0;D;11;8;5;1;7;29;5;7;1;4;0;0;433;31;2;0;0;0;423;336;204;433;346;21;41;328;204
Celta;Real Madrid;0;1;A;0;0;D;13;10;4;3;19;14;3;5;2;3;0;0;475;39;17;0;0;0;493;397;175;511;412;178;474;394;174
Elche;Levante;1;1;D;0;0;D;11;5;3;2;16;22;7;3;0;5;1;1;225;32;33;0;0;0;224;344;344;23;352;35;225;336;334
Oviedo;Mallorca;3;2;H;1;1;D;10;10;4;5;11;27;5;3;2;7;0;0;26;3;3;0;0;0;271;303;305;273;317;315;265;3;301
Sevilla;Girona;1;2;A;1;1;D;21;8;4;3;11;18;6;6;2;1;0;0;205;34;36;0;0;0;21;352;373;216;36;385;208;348;365
Villarreal;Barcelona;3;4;A;2;2;D;13;21;6;11;12;14;2;6;3;3;0;0;36;35;2;0;0;0;362;376;206;378;398;211;354;37;205
Valencia;Osasuna;1;2;A;0;1;A;16;7;4;2;13;12;6;3;3;4;0;0;191;34;4;0;0;0;189;356;453;196;363;46;19;349;433
Ath Bilbao;Betis;4;2;H;3;2;H;14;7;6;3;23;11;5;3;4;2;0;0;185;35;42;0;0;0;196;37;4;199;375;42;192;366;403
Getafe;Alaves;1;0;H;0;0;D;15;16;4;2;13;15;4;5;1;2;0;0;22;288;38;0;0;0;236;289;388;236;306;4;228;293;38
Vallecano;Ath Madrid;0;7;A;0;3;A;12;17;3;10;19;17;8;3;4;3;0;0;42;33;195;0;0;0;416;348;2;43;362;204;404;347;197
Elche;Villarreal;3;1;H;2;1;H;18;7;4;3;21;15;7;3;5;4;0;1;34;34;215;33;35;215;343;359;221;35;372;221;336;353;218
Levante;Celta;2;3;A;0;2;A;16;14;5;8;9;9;6;5;1;1;0;0;28;34;25;287;325;245;304;333;255;309;342;26;297;331;25
Sociedad;Oviedo;5;3;H;2;1;H;15;8;6;5;15;14;2;5;1;5;0;0;144;45;7;144;46;725;147;463;749;15;48;75;145;459;729
Real Madrid;Getafe;2;1;H;0;1;A;26;6;12;2;12;16;11;1;2;6;0;0;133;525;95;131;525;10;134;513;1076;136;54;115;133;514;1055
Alaves;Valencia;1;0;H;1;0;H;7;9;1;4;18;9;1;2;4;2;0;0;29;288;275;29;3;265;296;299;282;304;3;285;293;294;277
Betis;Vallecano;1;0;H;0;0;D;14;15;5;6;22;20;2;3;3;5;0;0;195;34;4;195;35;39;198;355;414;205;364;425;198;35;399
Girona;Espagnol;1;0;H;0;0;D;11;10;6;5;15;10;3;5;3;3;0;0;167;38;525;166;38;525;169;383;559;172;4;56;168;379;546
Mallorca;Ath Bilbao;0;0;D;0;0;D;8;11;2;3;12;17;3;5;0;1;0;0;33;3;238;31;31;24;33;311;249;34;321;249;326;309;242
Osasuna;Barcelona;1;2;A;0;1;A;11;9;3;4;6;16;8;5;1;3;1;0;525;4;165;5;4;165;537;417;165;54;433;17;512;41;166
Vallecano;Alaves;2;0;H;1;0;H;20;9;11;1;15;14;5;3;2;3;0;0;2;325;4;198;31;433;203;323;452;206;335;46;201;32;436
Ath Bilbao;Elche;3;0;H;0;0;D;20;5;9;4;10;20;5;4;1;4;0;0;153;4;7;155;4;625;156;417;666;159;433;7;155;408;656
Valencia;Ath Madrid;3;0;H;2;0;H;12;11;8;3;13;17;5;8;1;5;0;0;38;33;205;37;34;205;393;341;208;404;35;213;382;338;206
Celta;Mallorca;0;1;A;0;0;D;16;7;4;4;9;15;10;1;1;3;0;0;2;31;433;2;31;41;208;313;44;211;325;45;205;313;425
Barcelona;Betis;5;0;H;2;0;H;17;11;9;2;9;10;9;5;1;2;0;0;136;525;75;139;5;725;138;54;804;14;56;85;137;523;799
Getafe;Osasuna;3;2;H;1;1;D;11;8;6;3;15;11;6;3;6;2;0;0;263;3;3;26;29;31;265;293;324;268;309;326;26;293;316
Villarreal;Levante;2;1;H;1;1;D;10;17;4;7;16;6;7;6;2;3;0;0;144;45;7;147;475;6;148;498;638;153;51;7;148;477;636
Sevilla;Espagnol;1;0;H;0;0;D;26;12;9;2;13;12;7;3;3;5;0;0;162;4;55;163;39;525;164;393;599;168;408;6;164;392;568
Real Madrid;Sociedad;2;1;H;0;1;A;17;15;8;5;11;14;4;3;3;2;0;0;165;4;5;163;4;525;169;397;531;173;42;55;167;397;52
Oviedo;Girona;2;4;A;0;3;A;12;13;5;7;13;21;4;5;3;3;0;0;263;35;26;265;33;26;278;344;265;28;352;27;271;337;264
Alaves;Ath Bilbao;0;2;A;0;1;A;15;11;5;3;13;9;3;4;2;2;0;0;42;3;205;39;31;21;427;316;212;433;324;215;407;314;209
Girona;Mallorca;5;3;H;4;1;H;23;15;10;5;10;12;6;5;1;5;0;0;185;35;42;188;34;42;194;339;454;198;35;48;192;338;442
Osasuna;Sevilla;0;0;D;0;0;D;16;15;2;3;11;7;7;4;2;3;0;0;26;31;288;25;325;287;262;322;299;264;336;32;255;321;294
Barcelona;Celta;3;2;H;0;1;A;15;13;6;7;10;11;2;3;2;1;0;0;129;6;9;129;575;95;129;604;1038;132;641;113;129;595;1023
Levante;Valencia;2;2;D;0;1;A;17;7;10;5;12;10;8;3;4;2;0;0;3;36;23;3;34;23;311;353;236;319;362;241;304;348;234
Sociedad;Getafe;4;3;H;1;2;A;10;10;6;7;13;24;2;1;3;2;0;0;153;38;7;155;37;7;156;382;776;162;398;83;155;377;737
Vallecano;Villarreal;1;1;D;1;1;D;11;13;6;6;20;18;2;8;2;3;0;1;25;35;263;25;35;265;256;354;283;26;373;283;252;354;274
Betis;Elche;1;1;D;0;1;A;21;5;7;1;10;14;11;8;2;3;0;0;18;35;45;183;35;44;186;362;464;19;373;464;185;356;449
Espagnol;Oviedo;1;0;H;0;0;D;10;2;3;1;13;19;6;7;6;4;1;0;195;35;36;2;34;37;205;356;387;208;364;395;203;349;377
