HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;PSH;PSD;PSA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Oviedo;Celta;0;0;D;0;0;D;8;6;1;3;17;13;3;3;4;4;1;0;25;325;29;245;32;3;26;322;301;266;327;313;253;316;297
Espagnol;Ath Bilbao;2;0;H;0;0;D;4;9;2;2;8;10;1;2;3;4;0;0;275;31;275;285;31;265;292;302;282;292;322;289;282;3;275
Vallecano;Osasuna;0;2;A;0;1;A;12;6;3;4;14;21;6;2;2;2;0;0;28;3;275;275;3;28;287;304;286;293;308;297;28;295;282
Alaves;Betis;0;1;A;0;0;D;7;11;2;4;19;17;6;4;3;3;0;0;28;32;26;295;3;265;288;332;264;299;335;276;283;321;259
Mallorca;Sociedad;1;1;D;1;0;H;8;8;3;2;15;17;5;3;4;1;0;0;28;32;26;28;32;26;298;33;257;304;338;265;288;32;255
Villarreal;Girona;1;1;D;0;1;A;15;10;4;3;10;22;6;6;1;1;0;0;157;4;6;157;4;6;157;421;636;16;43;65;157;41;592
Valencia;Levante;4;2;H;2;2;D;14;19;8;8;9;14;3;4;1;3;0;0;21;35;35;205;36;35;214;348;366;216;37;372;21;346;353
Villarreal;Oviedo;2;1;H;0;0;D;14;12;8;4;5;12;4;3;1;1;0;0;157;4;6;16;41;55;161;412;593;165;42;65;16;405;572
Getafe;Osasuna;1;0;H;0;0;D;7;10;1;3;19;13;4;1;4;2;0;0;195;325;433;191;325;45;202;324;44;206;332;46;199;318;436
Celta;Valencia;2;1;H;1;0;H;23;9;6;3;12;13;6;6;3;1;0;0;22;36;31;225;35;31;225;358;322;234;37;335;224;35;317
Girona;Vallecano;0;2;A;0;1;A;4;6;0;4;18;23;2;1;3;3;0;0;21;31;4;215;3;4;221;299;407;225;32;41;217;301;392
Betis;Mallorca;2;0;H;2;0;H;16;9;6;2;18;10;5;3;3;0;0;0;185;36;433;183;36;44;187;363;452;194;368;48;187;352;438
Espagnol;Alaves;2;1;H;1;1;D;10;5;3;3;9;12;4;4;0;3;0;0;205;31;42;205;31;42;21;308;43;215;326;44;208;307;417
Sociedad;Real Madrid;0;0;D;0;0;D;6;16;1;4;17;12;1;11;2;2;0;0;475;38;172;45;38;178;483;385;176;505;4;18;465;38;176
Alaves;Getafe;0;0;D;0;0;D;9;11;0;4;13;13;1;5;2;2;0;0;35;29;237;34;285;245;358;283;25;362;291;254;349;282;245
Valencia;Girona;1;1;D;1;0;H;5;17;2;4;14;20;4;4;0;1;0;0;2;34;4;205;33;39;21;34;382;213;354;4;205;336;379
Elche;Sociedad;0;3;A;0;0;D;5;27;2;7;11;12;2;11;3;1;0;0;42;33;195;433;33;195;428;345;197;45;346;204;42;331;196
Betis;Real Madrid;2;3;A;2;1;H;15;11;5;4;9;10;8;3;5;2;1;0;4;4;18;42;37;185;417;394;185;445;4;189;416;38;184
Osasuna;Levante;1;3;A;1;1;D;9;11;4;5;15;16;3;7;2;0;0;0;23;32;325;235;33;31;23;343;325;235;35;33;229;334;319
Oviedo;Ath Bilbao;1;2;A;0;1;A;7;9;1;5;15;12;5;4;1;0;0;0;3;3;255;31;295;26;317;298;269;317;311;274;304;294;263
Ath Madrid;Espagnol;6;1;H;1;0;H;17;11;10;6;16;14;1;1;3;1;0;0;15;4;75;15;42;7;148;42;813;155;425;82;15;4;749
Vallecano;Sevilla;1;3;A;0;0;D;12;14;5;5;9;14;6;5;4;2;0;0;5;36;17;525;34;178;552;338;183;57;36;186;524;336;178
Mallorca;Celta;1;1;D;0;1;A;10;5;4;1;26;18;4;1;3;4;0;0;28;3;27;285;29;28;296;294;281;303;3;29;29;289;277
