HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;PSH;PSD;PSA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Ath Bilbao;Getafe;1;1;D;1;0;H;7;9;4;2;15;12;5;6;4;1;0;0;148;4;8;153;39;75;148;412;824;158;42;89;151;404;761
Betis;Girona;1;1;D;1;0;H;19;13;4;2;11;7;4;4;2;0;0;0;235;34;3;24;34;3;241;342;307;246;347;312;24;338;302
Celta;Alaves;2;1;H;0;1;A;6;10;4;2;8;23;3;3;3;2;0;0;2;32;41;2;33;41;205;337;412;209;341;42;203;332;402
Levante;Sevilla;2;2;D;1;1;D;13;16;5;5;12;13;6;3;0;0;0;0;28;325;263;28;31;263;287;323;271;292;331;275;283;321;265
Osasuna;Elche;1;1;D;0;1;A;16;10;5;4;14;12;6;4;3;2;0;0;185;33;45;19;34;46;189;347;457;193;357;47;188;344;448
Valencia;Barcelona;1;2;A;1;1;D;6;18;1;8;11;13;3;8;2;3;0;0;475;38;173;475;38;175;489;385;175;5;405;179;476;387;174
Sociedad;Vallecano;1;2;A;0;0;D;11;12;5;5;14;21;10;5;2;4;0;0;157;375;7;157;375;7;161;372;68;164;395;7;159;374;663
Mallorca;Real Madrid;1;1;D;0;1;A;12;13;5;4;11;6;8;7;1;0;0;1;8;42;145;75;45;144;777;443;146;8;457;15;733;434;147
Oviedo;Espanol;1;0;H;1;0;H;12;10;3;2;15;8;3;2;2;2;0;0;238;3;34;23;31;34;239;307;347;243;321;352;236;31;334
Villarreal;Ath Madrid;2;2;D;2;2;D;8;10;3;5;6;10;2;3;1;3;0;0;33;37;21;34;36;21;343;368;212;349;38;217;333;367;212
Celta;Valencia;3;1;H;2;1;H;7;13;5;5;9;11;4;7;3;0;0;0;21;34;36;21;33;37;217;337;371;218;343;378;212;335;365
Sevilla;Villarreal;1;2;A;1;1;D;15;6;9;5;15;7;7;2;3;5;0;0;24;36;28;24;35;288;245;359;293;247;375;3;24;355;288
Osasuna;Mallorca;1;0;H;0;0;D;15;11;5;2;10;8;5;4;2;1;0;0;245;31;31;25;29;33;252;302;328;254;321;331;247;301;322
Barcelona;Ath Bilbao;2;1;H;1;1;D;13;9;5;2;11;16;5;6;4;5;0;0;162;42;5;162;42;5;163;422;534;167;437;54;164;418;505
Espanol;Sociedad;0;1;A;0;0;D;13;8;3;4;14;18;7;4;2;2;0;0;39;32;205;41;31;21;418;312;211;43;332;216;4;313;21
Getafe;Vallecano;0;0;D;0;0;D;12;3;0;1;16;18;3;2;1;2;0;0;245;3;32;255;288;33;253;293;338;259;3;341;25;293;327
